,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
77,688385.SH,20240528,29.08,30.49,28.72,29.42,28.86,0.56,1.9404,111741.69,332123.689
78,688385.SH,20240527,28.41,28.86,27.1,28.86,28.66,0.2,0.6978,113177.33,315759.578
79,688385.SH,20240524,29.43,29.76,28.58,28.66,29.43,-0.77,-2.6164,46147.01,134074.158
80,688385.SH,20240523,30.05,30.2,29.4,29.43,30.19,-0.76,-2.5174,44855.16,132967.423
81,688385.SH,20240522,30.48,30.52,29.66,30.19,30.32,-0.13,-0.4288,57994.67,174257.715
82,688385.SH,20240521,31.58,31.59,30.22,30.32,31.57,-1.25,-3.9595,63867.24,195882.417
83,688385.SH,20240520,31.25,32.0,31.01,31.57,31.27,0.3,0.9594,47160.14,148696.789
84,688385.SH,20240517,30.59,31.32,30.4,31.27,30.77,0.5,1.625,43684.66,135107.988
85,688385.SH,20240516,30.7,31.3,30.59,30.77,30.62,0.15,0.4899,44492.42,137572.08
86,688385.SH,20240515,31.18,31.39,30.58,30.62,31.31,-0.69,-2.2038,37828.51,116999.774
87,688385.SH,20240514,31.78,32.1,31.18,31.31,31.56,-0.25,-0.7921,38089.96,119899.227
88,688385.SH,20240513,32.39,32.58,31.48,31.56,32.7,-1.14,-3.4862,53067.12,169135.908
89,688385.SH,20240510,33.2,33.37,32.57,32.7,33.26,-0.56,-1.6837,45921.34,150569.587
90,688385.SH,20240509,32.64,33.5,32.47,33.26,32.43,0.83,2.5594,66533.67,220020.926
91,688385.SH,20240508,32.98,33.59,32.41,32.43,33.03,-0.6,-1.8165,53253.17,175556.346
92,688385.SH,20240507,32.92,33.7,32.52,33.03,32.99,0.04,0.1212,69173.61,228767.401
93,688385.SH,20240506,33.04,33.82,32.92,32.99,32.35,0.64,1.9784,77572.89,259008.591
94,688385.SH,20240430,33.02,33.2,32.3,32.35,32.42,-0.07,-0.2159,66341.4,216535.462
95,688385.SH,20240429,31.48,32.81,31.43,32.42,31.48,0.94,2.986,83731.2,269615.49
96,688385.SH,20240426,31.01,31.75,30.92,31.48,31.22,0.26,0.8328,82274.75,258382.444
97,688385.SH,20240425,31.14,32.18,31.0,31.22,31.68,-0.46,-1.452,63072.16,198991.416
98,688385.SH,20240424,30.5,31.94,30.47,31.68,30.36,1.32,4.3478,78990.94,248029.888
99,688385.SH,20240423,30.87,31.46,30.32,30.36,31.02,-0.66,-2.1277,49122.2,150935.313
100,688385.SH,20240422,29.66,31.15,28.9,31.02,30.06,0.96,3.1936,74647.48,227086.037
101,688385.SH,20240419,30.71,30.77,30.02,30.06,30.96,-0.9,-2.907,49823.77,150985.376
102,688385.SH,20240418,31.31,31.57,30.55,30.96,31.32,-0.36,-1.1494,70244.17,218494.759
103,688385.SH,20240417,28.8,31.49,28.75,31.32,28.31,3.01,10.6323,117303.63,357814.157
104,688385.SH,20240416,29.85,30.1,28.26,28.31,30.0,-1.69,-5.6333,60769.83,176960.491
105,688385.SH,20240415,28.8,30.91,28.67,30.0,28.67,1.33,4.639,108892.19,324715.527
106,688385.SH,20240412,29.23,29.55,28.61,28.67,29.22,-0.55,-1.8823,47674.91,138317.172
107,688385.SH,20240411,29.26,29.85,29.12,29.22,29.26,-0.04,-0.1367,43439.69,128017.676
108,688385.SH,20240410,30.3,30.31,29.06,29.26,30.29,-1.03,-3.4005,50412.03,148852.286
109,688385.SH,20240409,29.51,30.45,29.48,30.29,29.69,0.6,2.0209,41937.04,126154.204
110,688385.SH,20240408,30.9,30.9,29.66,29.69,30.7,-1.01,-3.2899,48776.15,147142.096
111,688385.SH,20240403,31.13,31.57,30.11,30.7,31.13,-0.43,-1.3813,62562.27,192646.114
112,688385.SH,20240402,32.0,32.0,30.87,31.13,31.99,-0.86,-2.6883,59934.87,187163.513
113,688385.SH,20240401,32.0,32.17,31.51,31.99,31.63,0.36,1.1382,65346.5,208503.068
114,688385.SH,20240329,31.11,31.76,30.68,31.63,31.5,0.13,0.4127,60665.75,189303.195
115,688385.SH,20240328,30.37,32.34,30.29,31.5,30.34,1.16,3.8233,94974.96,298132.965
116,688385.SH,20240327,31.91,32.25,30.16,30.34,31.93,-1.59,-4.9796,80719.09,249769.175
117,688385.SH,20240326,32.97,33.51,31.75,31.93,33.15,-1.22,-3.6802,89200.55,289005.983
118,688385.SH,20240325,34.65,35.29,33.05,33.15,35.19,-2.04,-5.7971,127706.44,435516.138
119,688385.SH,20240322,36.61,37.2,35.08,35.19,36.75,-1.56,-4.2449,110708.72,399425.826
120,688385.SH,20240321,37.2,37.9,36.2,36.75,36.86,-0.11,-0.2984,106558.34,395405.629
121,688385.SH,20240320,37.02,37.27,36.2,36.86,37.02,-0.16,-0.4322,72043.34,264983.803
122,688385.SH,20240319,37.59,38.05,37.02,37.02,37.77,-0.75,-1.9857,92594.8,347149.689
123,688385.SH,20240318,36.49,37.86,35.88,37.77,36.16,1.61,4.4524,141561.34,523365.51
124,688385.SH,20240315,36.0,36.39,35.36,36.16,35.86,0.3,0.8366,72643.14,260738.816
125,688385.SH,20240314,36.48,36.85,35.32,35.86,36.77,-0.91,-2.4748,99076.05,357007.295
126,688385.SH,20240313,37.2,38.14,36.71,36.77,37.22,-0.45,-1.209,115826.74,432274.117
127,688385.SH,20240312,37.4,38.46,36.62,37.22,37.33,-0.11,-0.2947,154174.38,578350.174
128,688385.SH,20240311,35.61,37.7,35.2,37.33,36.42,0.91,2.4986,151756.58,558758.395
129,688385.SH,20240308,35.06,36.59,34.8,36.42,35.05,1.37,3.9087,128748.52,463374.36
130,688385.SH,20240307,36.37,37.1,34.9,35.05,36.37,-1.32,-3.6294,125819.41,450714.178
131,688385.SH,20240306,36.01,37.2,35.82,36.37,36.5,-0.13,-0.3562,122883.25,449673.558
132,688385.SH,20240305,37.1,37.72,36.01,36.5,37.93,-1.43,-3.7701,180533.61,666053.979
133,688385.SH,20240304,38.0,38.28,36.66,37.93,38.5,-0.57,-1.4805,228552.89,858271.601
134,688385.SH,20240301,37.18,39.32,36.55,38.5,37.13,1.37,3.6897,317096.41,1204756.419
135,688385.SH,20240229,31.84,37.96,31.78,37.13,31.84,5.29,16.6143,339631.77,1210559.798
